transaction_id,amount,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase,repeat_retailer,used_chip,used_pin,online_order,hour_of_day,fraud
TXN100109,54.41,0.95,2.15,1.24,1,1,0,0,14,0
TXN100110,65.2,4.22,3.4,1.5,0,1,1,0,6,0
TXN100111,100.08,3.03,0.11,0.77,0,1,0,1,7,0
TXN100112,43.89,2.39,2.21,0.97,1,0,1,1,13,0
TXN100113,555.75,224.23,3.53,5.89,0,0,0,1,17,1
TXN100114,44.57,3.65,1.17,0.89,1,0,0,1,9,0
TXN100115,42.24,0.64,5.65,0.97,1,0,1,1,14,0
TXN100116,125.66,11.82,13.53,0.76,1,1,1,0,11,0
TXN100117,52.81,0.01,1.97,0.49,1,1,0,1,8,0
TXN100118,129.22,6.57,0.47,0.85,1,1,1,0,15,0
TXN100119,20.25,3.36,7.75,1.52,0,0,1,0,11,0
TXN100120,23.46,1.41,4.84,1.06,1,0,0,1,13,0
TXN100121,97.81,15.65,7.2,0.75,1,1,0,1,13,0
TXN100122,49.45,9.44,0.44,0.02,1,1,1,0,12,0
TXN100123,24.79,11.72,5.08,0.38,1,1,1,0,14,0
TXN100124,50.61,11.63,3.25,1.15,0,1,1,1,17,0
TXN100125,131.68,7.43,4.25,1.28,1,1,0,1,14,0
TXN100126,29.04,6.97,3.81,1.22,1,1,0,0,9,0
TXN100127,71.04,7.98,5.83,0.4,1,0,0,0,17,0
TXN100128,144.26,2.1,0.37,1.84,1,1,1,0,8,0
TXN100129,53.76,3.96,2.87,1.24,1,0,1,0,10,0
TXN100130,35.92,5.15,5.13,1.06,1,1,1,0,8,0
TXN100131,42.18,4.92,3.72,1.47,1,1,0,0,23,0
TXN100132,115.7,0.3,6.48,1.42,1,1,0,0,13,0
TXN100133,212.43,0.31,9.22,0.56,1,1,0,0,9,0
TXN100134,290.33,5.92,1.01,0.84,1,1,0,1,20,0
TXN100135,71.68,9.22,10.77,0.0,1,1,0,0,11,0
TXN100136,75.1,18.52,0.25,1.66,1,0,0,0,23,0
TXN100137,139.95,6.17,1.5,1.11,1,0,1,0,14,0
TXN100138,172.02,8.5,3.88,0.87,1,1,1,0,17,0
TXN100139,36.43,0.09,1.14,1.66,1,0,1,0,6,0
TXN100140,55.78,10.33,3.82,0.86,0,1,1,0,16,0
TXN100141,98.67,1.52,4.68,1.68,1,0,0,0,17,0
TXN100142,152.49,1.55,4.01,0.29,1,0,1,0,14,0
TXN100143,193.68,7.98,9.41,1.59,1,1,0,0,12,0
TXN100144,105.59,9.18,5.31,0.73,1,1,1,0,14,0
TXN100145,36.32,5.57,2.47,1.68,1,1,1,0,19,0
TXN100146,121.46,2.76,3.84,1.47,1,0,1,0,19,0
TXN100147,6.95,4.21,5.65,0.92,0,1,0,1,14,0
TXN100148,53.57,3.92,2.56,0.98,1,1,1,0,22,0
TXN100149,79.42,1.08,2.12,0.3,1,1,0,0,20,0
TXN100150,107.39,1.3,4.52,1.0,1,1,1,0,14,0
TXN100151,48.79,2.46,6.54,0.46,1,0,1,0,11,0
TXN100152,53.62,7.74,5.48,0.89,1,1,0,0,11,0
TXN100153,11.77,7.36,3.99,1.16,1,1,1,0,15,0
TXN100154,139.15,9.22,5.31,1.68,1,1,1,0,19,0
TXN100155,46.87,0.08,0.78,1.23,1,0,1,0,13,0
TXN100156,122.7,1.4,1.83,0.12,1,1,0,1,13,0
TXN100157,120.81,1.19,5.21,0.53,1,0,0,0,8,0
TXN100158,89.71,1.05,0.09,0.21,1,1,1,1,15,0
TXN100159,86.89,5.87,5.08,1.27,0,0,1,1,11,0
TXN100160,198.13,11.17,1.26,0.11,1,0,1,0,6,0
TXN100161,24.47,5.81,3.65,1.06,1,1,1,1,16,0
TXN100162,96.17,7.6,3.53,1.09,1,1,1,1,20,0
TXN100163,39.24,7.2,5.19,1.32,0,1,0,0,17,0
TXN100164,201.42,0.36,5.32,1.63,1,1,1,1,14,0
TXN100165,258.85,15.0,0.34,1.46,1,1,0,0,14,0
TXN100166,172.83,1.05,2.81,1.12,1,0,1,1,16,0
TXN100167,6.69,12.68,2.11,1.59,1,0,1,1,18,0
TXN100168,34.77,12.31,4.06,0.79,1,0,0,0,11,0
TXN100169,25.9,1.61,7.28,0.97,1,1,1,0,16,0
TXN100170,71.24,5.79,5.07,1.02,1,1,0,0,10,0
TXN100171,127.74,19.38,0.42,0.53,1,1,0,0,11,0
TXN100172,136.05,2.35,2.72,0.64,1,1,0,0,16,0
TXN100173,227.55,1.92,5.82,0.42,1,1,1,1,13,0
TXN100174,182.82,16.5,0.36,1.25,0,1,1,0,6,0
TXN100175,58.62,9.85,1.03,1.37,1,1,0,1,9,0
TXN100176,180.42,14.04,2.74,1.31,1,1,1,0,11,0
TXN100177,175.16,48.89,117.85,5.57,0,0,0,1,2,1
TXN100178,144.61,1.16,0.69,0.81,1,0,1,0,12,0
TXN100179,109.52,10.83,7.95,0.81,1,1,0,0,16,0
TXN100180,146.73,13.6,3.66,0.99,1,0,0,0,10,0
TXN100181,135.87,17.61,2.09,0.69,1,0,1,1,23,0
TXN100182,75.86,6.26,11.09,1.04,1,1,0,1,23,0
TXN100183,82.89,0.74,4.79,1.03,1,1,1,1,17,0
TXN100184,55.02,15.14,0.88,0.06,1,1,1,0,17,0
TXN100185,266.77,5.56,0.34,1.4,1,0,1,1,15,0
TXN100186,123.39,4.29,3.11,1.41,1,1,0,0,9,0
TXN100187,61.66,5.92,3.99,1.59,1,1,0,0,19,0
TXN100188,95.37,15.12,10.46,0.63,1,1,1,0,13,0
TXN100189,26.11,6.88,8.36,1.05,1,1,0,0,10,0
TXN100190,47.82,5.81,5.88,0.3,0,0,0,0,15,0
TXN100191,226.26,6.08,1.34,0.8,1,1,1,0,15,0
TXN100192,37.31,13.8,1.11,0.53,0,0,1,0,13,0
TXN100193,61.85,10.65,10.89,0.41,1,1,0,0,13,0
TXN100194,65.49,1.14,2.79,0.88,1,1,1,0,9,0
TXN100195,48.73,2.95,6.38,0.77,1,1,1,0,23,0
TXN100196,202.38,8.59,1.99,0.93,1,1,0,0,14,0
TXN100197,104.0,2.14,3.16,0.63,1,0,1,0,12,0
TXN100198,142.33,14.08,0.69,1.18,1,1,0,0,17,0
TXN100199,39.88,3.05,2.9,0.39,1,0,1,0,7,0
TXN100200,9.7,11.72,2.51,1.76,1,1,1,0,15,0
TXN100201,51.97,6.02,2.53,0.69,1,1,1,0,19,0
TXN100202,46.02,6.19,4.23,1.19,1,1,1,0,12,0
TXN100203,62.22,8.03,5.16,1.69,1,0,1,0,10,0
TXN100204,58.23,3.08,8.74,0.42,1,1,1,0,15,0
TXN100205,11.06,8.33,4.73,0.44,1,1,0,0,12,0
TXN100206,96.48,7.31,0.31,1.47,0,1,0,1,4,0
TXN100207,135.52,16.22,6.75,1.68,1,1,1,1,9,0
TXN100208,61.78,11.1,8.06,1.24,1,1,1,0,14,0
TXN100209,109.29,4.78,6.84,0.64,1,1,1,0,14,0
TXN100210,544.41,2.5,1.46,1.13,1,0,0,0,16,0
TXN100211,31.36,20.3,0.92,0.44,1,1,1,0,20,0
TXN100212,32.74,7.68,0.97,1.3,1,1,1,0,22,0
TXN100213,59.04,11.06,4.06,0.74,0,1,1,0,11,0
TXN100214,137.42,0.31,3.64,1.15,1,1,0,0,20,0
TXN100215,21.43,17.49,2.35,1.18,0,1,1,0,8,0
TXN100216,21.16,3.04,1.26,1.24,0,0,1,1,13,0
TXN100217,140.08,5.11,3.23,1.43,1,0,1,0,15,0
TXN100218,177.61,6.39,3.2,0.97,1,1,1,0,10,0
TXN100219,10.85,4.52,5.83,0.04,1,1,1,1,20,0
TXN100220,62.92,13.07,1.81,1.25,0,0,0,0,16,0
TXN100221,104.09,6.5,5.76,1.51,0,1,1,0,15,0
TXN100222,24.79,2.34,1.35,0.95,1,1,1,0,14,0
TXN100223,22.66,4.28,2.3,0.92,1,1,0,1,21,0
TXN100224,251.13,7.29,0.0,1.64,1,0,1,0,7,0
TXN100225,41.58,13.34,4.71,1.21,1,0,1,1,14,0
TXN100226,156.07,8.75,1.61,1.69,1,1,1,0,17,0
TXN100227,64.47,12.34,4.01,0.15,1,1,0,0,17,0
TXN100228,118.14,5.83,4.47,1.43,1,0,1,0,16,0
TXN100229,106.29,22.57,0.59,1.1,1,0,0,0,10,0
TXN100230,192.22,6.26,1.73,0.17,0,1,1,0,15,0
TXN100231,34.33,6.66,0.74,1.35,1,1,0,0,7,0
TXN100232,17.53,7.57,1.78,0.88,1,1,0,0,10,0
TXN100233,173.15,7.93,2.23,1.02,1,1,0,0,14,0
TXN100234,22.42,7.81,1.83,1.99,1,1,1,0,16,0
TXN100235,110.85,5.08,11.42,1.78,1,0,1,0,7,0
TXN100236,9.76,3.49,5.87,0.36,1,1,0,0,6,0
TXN100237,165.05,18.45,1.15,0.76,1,1,1,0,13,0
TXN100238,77.83,6.51,7.66,1.28,1,1,1,0,9,0
TXN100239,273.23,7.16,4.11,1.47,1,0,0,0,17,0
TXN100240,530.19,93.41,41.88,0.57,1,0,0,1,16,1
TXN100241,64.36,3.65,3.43,0.69,1,1,0,0,17,0
TXN100242,72.78,1.81,9.16,1.03,1,0,0,0,23,0
TXN100243,42.56,12.66,6.28,0.12,1,1,1,0,6,0
TXN100244,105.69,4.78,4.5,0.82,1,1,0,1,9,0
TXN100245,324.28,139.63,48.52,3.58,0,0,0,0,7,1
TXN100246,76.71,11.66,5.01,0.3,1,1,0,0,12,0
TXN100247,153.61,5.15,4.86,0.26,1,1,1,1,16,0
TXN100248,107.57,9.01,2.91,0.7,1,0,1,0,7,0
TXN100249,77.27,17.2,6.31,1.78,0,1,1,0,19,0
TXN100250,28.09,14.63,2.59,0.42,1,0,0,0,12,0
TXN100251,86.97,8.63,2.86,0.97,1,1,1,0,17,0
TXN100252,128.99,11.81,4.11,1.24,1,1,0,0,13,0
TXN100253,100.81,17.03,3.23,1.15,1,1,1,0,18,0
TXN100254,240.18,0.39,1.65,0.86,1,0,1,1,11,0
TXN100255,66.96,5.75,10.91,0.02,1,1,1,1,14,0
TXN100256,8.6,1.79,6.44,1.37,1,1,0,1,9,0
TXN100257,52.07,5.59,6.29,2.73,1,1,1,0,12,0
TXN100258,60.3,12.36,3.03,1.55,1,0,0,0,14,0
TXN100259,124.45,7.01,2.22,1.68,1,0,1,0,17,0
TXN100260,13.65,8.12,2.97,1.92,0,0,0,1,16,0
TXN100261,164.18,1.36,0.69,0.22,0,0,0,0,15,0
TXN100262,70.75,11.83,2.52,1.13,1,1,0,0,20,0
TXN100263,86.22,6.35,2.55,1.5,1,0,1,0,15,0
TXN100264,232.68,85.98,76.57,5.04,0,0,0,1,6,1
TXN100265,44.05,5.47,4.58,0.8,1,1,1,0,20,0
TXN100266,104.15,0.84,5.91,0.88,0,1,1,1,4,0
TXN100267,79.14,16.8,5.79,0.67,1,1,1,1,18,0
TXN100268,344.71,21.49,1.6,1.39,1,1,1,0,17,0
TXN100269,76.16,11.77,1.84,0.6,1,1,0,1,3,0
TXN100270,74.28,0.08,0.18,1.22,1,0,1,0,19,0
TXN100271,56.29,5.96,2.03,1.49,1,0,1,0,15,0
TXN100272,172.06,7.22,10.29,0.65,1,1,0,0,19,0
TXN100273,70.5,0.73,7.1,1.47,1,1,1,1,22,0
TXN100274,111.08,13.07,2.84,1.13,1,0,0,0,9,0
TXN100275,41.82,14.08,5.73,0.66,1,0,1,1,14,0
TXN100276,86.89,5.79,8.5,1.11,1,0,1,0,17,0
TXN100277,59.11,10.82,5.26,0.73,1,1,0,1,20,0
TXN100278,83.9,8.07,2.51,1.63,1,1,0,0,9,0
TXN100279,617.07,105.68,81.94,8.76,1,0,0,1,3,1
TXN100280,22.57,15.01,2.46,0.79,0,1,0,1,4,0
TXN100281,68.49,4.82,1.01,1.03,0,1,0,0,4,0
TXN100282,26.43,1.07,0.7,0.89,0,1,0,0,10,0
TXN100283,11.83,8.29,5.18,0.74,1,1,1,0,5,0
TXN100284,25.89,17.79,0.56,0.07,1,1,0,0,23,0
TXN100285,43.43,6.95,0.8,0.87,1,1,0,0,14,0
TXN100286,38.27,6.13,7.65,0.87,1,0,1,0,11,0
TXN100287,119.23,10.72,6.12,1.25,1,0,0,1,17,0
TXN100288,23.27,3.84,1.49,1.57,1,1,0,0,20,0
TXN100289,31.04,2.28,1.82,0.57,1,1,0,0,3,0
TXN100290,66.58,17.36,0.77,1.13,1,1,0,0,13,0
TXN100291,57.99,3.29,2.3,0.8,0,0,0,0,10,0
TXN100292,48.91,0.26,3.39,1.08,1,1,0,0,5,0
TXN100293,69.79,12.27,2.01,1.37,1,0,0,1,19,0
TXN100294,122.39,7.59,1.03,0.5,1,1,0,0,15,0
TXN100295,103.43,19.07,0.6,1.1,1,1,1,1,6,0
TXN100296,36.76,4.59,0.55,0.87,1,1,0,0,11,0
TXN100297,23.54,1.22,8.06,2.05,1,0,1,0,12,0
TXN100298,55.45,2.98,3.56,0.75,0,1,1,0,13,0
TXN100299,74.63,11.09,6.05,2.41,1,1,1,0,13,0
TXN100300,38.82,1.9,3.83,1.29,0,0,0,1,23,0
TXN100301,326.33,2.44,2.76,1.33,0,0,1,0,18,0
TXN100302,47.96,7.87,3.66,0.56,1,1,1,0,10,0
TXN100303,67.79,3.14,0.37,1.87,1,1,1,0,16,0
TXN100304,60.21,6.52,6.14,0.85,1,1,1,0,11,0
TXN100305,32.33,6.87,3.5,0.84,1,1,0,0,11,0
TXN100306,791.2,131.35,73.56,4.24,0,0,0,1,23,1
TXN100307,61.42,15.14,5.95,1.26,1,1,1,0,22,0
TXN100308,77.02,17.84,2.35,1.03,1,0,0,0,19,0
TXN100309,365.23,98.57,97.2,1.0,0,0,0,1,7,1
TXN100310,99.77,12.99,1.83,0.11,1,1,0,0,12,0
TXN100311,88.65,14.42,5.09,1.27,1,0,1,0,18,0
TXN100312,32.57,9.02,1.54,0.94,0,1,1,0,14,0
TXN100313,53.41,10.49,2.7,0.45,1,1,0,0,21,0
TXN100314,38.18,17.29,5.93,1.22,1,0,0,1,15,0
TXN100315,92.22,29.14,2.55,1.35,1,0,0,0,12,0
TXN100316,109.26,15.04,1.21,0.57,1,1,1,0,15,0
TXN100317,16.38,9.63,0.19,0.66,1,1,0,0,23,0
TXN100318,57.54,17.08,1.41,1.84,1,1,1,0,2,0
TXN100319,176.0,0.2,1.77,0.7,0,0,1,1,14,0
TXN100320,145.39,7.28,0.6,1.02,1,1,0,0,12,0
TXN100321,19.09,22.35,6.41,0.22,1,1,0,1,8,0
TXN100322,141.24,0.83,5.16,1.19,1,1,1,0,10,0
TXN100323,45.99,13.36,0.27,1.31,1,1,1,1,16,0
TXN100324,38.11,10.06,2.0,0.48,0,0,0,0,19,0
TXN100325,169.84,2.59,6.09,0.73,0,0,0,0,18,0
TXN100326,64.88,19.49,6.44,0.68,1,1,1,0,20,0
TXN100327,34.76,13.05,3.16,0.5,1,1,0,0,19,0
TXN100328,70.99,9.61,2.61,1.49,1,1,1,0,15,0
TXN100329,108.63,11.13,5.43,1.22,1,1,0,0,16,0
TXN100330,77.93,2.5,6.66,0.54,1,0,1,0,23,0
TXN100331,81.59,4.98,1.75,1.67,1,0,0,0,13,0
TXN100332,40.13,6.72,1.87,0.42,1,1,1,0,12,0
TXN100333,147.41,7.83,3.08,0.31,1,0,1,0,11,0
TXN100334,87.34,13.38,1.62,0.93,1,0,1,0,11,0
TXN100335,35.34,3.8,0.13,0.72,1,0,0,0,5,0
TXN100336,163.72,1.04,8.27,0.63,0,1,1,0,14,0
TXN100337,11.46,0.12,0.64,0.92,1,1,0,0,11,0
TXN100338,299.69,7.29,2.35,0.99,1,1,1,0,10,0
TXN100339,56.26,16.29,4.64,1.49,1,1,1,0,8,0
TXN100340,128.27,12.5,1.24,1.12,1,1,1,0,22,0
TXN100341,75.22,6.31,4.84,1.28,1,1,0,1,13,0
TXN100342,7.63,4.2,2.5,0.83,1,1,1,1,12,0
TXN100343,34.15,11.03,0.94,0.01,1,1,0,0,22,0
TXN100344,82.87,5.74,10.46,1.04,0,1,0,1,12,0
TXN100345,30.16,3.93,1.36,0.69,0,1,0,1,0,0
TXN100346,21.13,5.1,3.01,0.97,1,1,1,0,6,0
TXN100347,42.81,8.68,5.0,0.72,1,1,0,0,17,0
TXN100348,56.54,9.45,7.29,0.06,1,0,0,0,8,0
TXN100349,88.82,9.82,0.95,1.2,1,1,1,1,13,0
TXN100350,65.38,3.8,3.33,1.28,1,0,1,0,17,0
TXN100351,238.43,12.21,1.87,1.31,1,1,1,0,10,0
TXN100352,20.81,4.39,0.07,1.44,1,1,1,1,19,0
TXN100353,86.67,2.42,2.39,0.31,1,1,1,1,20,0
TXN100354,29.23,1.32,6.15,0.56,1,1,0,0,22,0
TXN100355,10.42,4.32,2.78,0.61,1,0,1,1,23,0
TXN100356,107.46,9.58,1.54,0.85,1,1,0,0,9,0
TXN100357,40.67,12.87,0.31,0.96,1,1,1,0,18,0
TXN100358,39.8,7.07,3.85,0.75,1,1,0,1,20,0
TXN100359,45.47,10.42,3.8,1.08,1,0,1,0,13,0
TXN100360,57.77,3.95,8.41,2.17,1,1,0,1,16,0
TXN100361,96.73,9.91,2.24,0.5,1,0,0,0,13,0
TXN100362,108.22,8.41,4.47,0.3,1,1,0,0,17,0
TXN100363,51.92,12.88,2.66,0.72,1,1,0,0,8,0
TXN100364,96.87,16.54,6.27,0.85,1,0,1,1,9,0
TXN100365,111.2,24.89,14.1,0.94,1,1,1,0,23,0
TXN100366,74.19,8.36,2.32,1.03,1,1,1,0,19,0
TXN100367,90.59,16.46,0.78,1.64,0,0,1,1,9,0
TXN100368,160.19,65.04,65.46,10.15,0,0,0,1,23,1
TXN100369,46.48,9.32,3.3,0.76,1,1,1,0,5,0
TXN100370,68.13,13.49,0.2,1.38,0,1,1,1,0,0
TXN100371,16.31,10.52,2.87,0.27,1,1,0,0,7,0
TXN100372,11.05,1.73,1.47,1.31,1,0,1,0,10,0
TXN100373,18.37,0.71,2.67,0.22,0,1,0,0,8,0
TXN100374,83.89,3.69,5.07,1.5,1,1,0,0,12,0
TXN100375,44.97,12.38,5.83,0.63,0,1,1,0,14,0
TXN100376,146.19,5.34,1.66,1.1,1,0,1,0,6,0
TXN100377,101.1,2.84,8.23,1.59,0,1,0,1,9,0
TXN100378,64.57,24.13,3.42,0.91,1,1,0,1,11,0
TXN100379,104.45,12.25,1.7,0.04,1,1,1,0,16,0
TXN100380,93.81,7.09,8.89,0.91,1,1,1,0,11,0
TXN100381,34.56,1.16,0.38,0.63,1,1,1,0,15,0
TXN100382,32.04,14.66,2.07,0.75,1,1,0,1,19,0
TXN100383,27.1,4.26,4.93,1.25,1,1,1,1,19,0
TXN100384,125.38,3.77,8.07,0.32,1,0,0,0,20,0
TXN100385,110.77,1.26,7.88,0.73,1,0,1,0,9,0
TXN100386,67.67,12.42,3.56,1.06,1,0,0,1,11,0
TXN100387,95.25,16.5,3.58,0.41,1,0,0,0,16,0
TXN100388,79.96,13.39,6.67,0.86,1,1,0,0,16,0
TXN100389,23.32,10.03,2.17,0.14,1,1,0,0,12,0
TXN100390,108.99,13.54,6.42,1.11,1,0,1,0,8,0
TXN100391,49.64,13.48,1.65,1.65,1,1,0,1,11,0
TXN100392,42.83,2.88,0.29,0.52,1,1,1,0,10,0
TXN100393,79.2,13.59,2.4,1.37,0,1,1,1,2,0
TXN100394,120.95,125.0,53.8,2.02,1,1,0,1,3,1
TXN100395,87.96,1.56,0.43,1.51,1,1,0,0,14,0
TXN100396,5.98,3.71,2.04,1.35,1,0,0,1,12,0
TXN100397,24.53,16.67,4.94,1.19,1,1,0,0,8,0
TXN100398,37.79,8.45,1.36,0.94,1,0,0,0,14,0
TXN100399,36.38,10.86,2.75,0.65,0,1,0,0,17,0
TXN100400,35.48,0.36,4.86,0.77,1,0,1,0,9,0
TXN100401,34.1,17.8,0.48,1.72,1,1,1,0,10,0
TXN100402,42.93,0.54,4.31,1.31,1,1,1,0,13,0
TXN100403,16.36,14.4,6.44,1.71,0,1,1,0,14,0
TXN100404,153.7,7.17,2.9,1.39,1,1,1,0,20,0
TXN100405,26.53,6.88,4.67,0.72,1,0,0,0,10,0
TXN100406,24.04,7.25,2.66,0.49,0,0,1,0,7,0
